RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15600001,Johnson,362,Germany,Female,49,3,34884.48,1,0,1,16038.71,0
2,15600002,Brown,469,Germany,Male,89,3,179004.9,4,0,1,121960.48,0
3,15600003,Williams,707,Spain,Female,53,2,53828.44,3,0,0,82186.19,1
4,15600004,Miller,659,Spain,Male,76,8,31206.54,4,0,1,167586.89,1
5,15600005,Wilson,448,Germany,Male,23,10,56974.57,3,0,0,174631.9,1
6,15600006,Jones,582,Germany,Female,38,5,88817.68,3,0,0,111486.58,0
7,15600007,Williams,586,Spain,Female,89,3,171153.56,1,0,0,162958.7,1
8,15600008,Jones,383,France,Female,45,10,124807.81,4,0,1,36529.76,1
9,15600009,Wilson,569,Germany,Female,64,3,249331.44,2,1,0,153598.61,0
10,15600010,Williams,671,France,Female,26,6,95404.82,4,1,0,139253.85,0
11,15600011,Rodriguez,734,Spain,Female,32,4,108691.31,4,0,1,194658.74,0
12,15600012,Rodriguez,817,France,Female,82,9,49727.78,3,0,0,123799.47,1
13,15600013,Smith,407,Spain,Female,48,0,60217.9,1,0,1,165044.42,0
14,15600014,Williams,687,Spain,Male,51,8,218108.26,4,0,0,145460.3,1
15,15600015,Miller,574,Germany,Female,33,3,56174.33,3,0,0,121803.62,0
16,15600016,Johnson,712,Germany,Male,47,1,226355.0,3,0,0,62910.68,1
17,15600017,Brown,626,France,Female,49,7,201874.25,2,0,0,135206.72,1
18,15600018,Davis,560,Spain,Male,30,0,100655.32,3,0,0,46402.11,1
19,15600019,Williams,566,France,Female,77,3,218621.49,1,1,0,19611.78,0
20,15600020,Johnson,824,France,Male,70,7,120339.6,4,0,0,82004.89,1
21,15600021,Jones,824,Spain,Female,72,8,165467.83,4,0,0,66374.49,0
22,15600022,Wilson,726,Germany,Male,58,0,12535.58,4,0,0,192547.99,0
23,15600023,Williams,385,Germany,Male,48,6,29971.65,2,0,0,89652.73,1
24,15600024,Jones,454,Germany,Female,48,4,98946.46,3,1,1,186513.48,0
25,15600025,Smith,584,Germany,Male,27,8,53288.58,3,0,1,177364.19,0
